Date,Close
9/30/2020 16:00:00,429.01
10/1/2020 16:00:00,448.16
10/2/2020 16:00:00,415.09
10/5/2020 16:00:00,425.68
10/6/2020 16:00:00,413.98
10/7/2020 16:00:00,425.3
10/8/2020 16:00:00,425.92
10/9/2020 16:00:00,434
10/12/2020 16:00:00,442.3
10/13/2020 16:00:00,446.65
10/14/2020 16:00:00,461.3
10/15/2020 16:00:00,448.88
10/16/2020 16:00:00,439.67
10/19/2020 16:00:00,430.83
10/20/2020 16:00:00,421.94
10/21/2020 16:00:00,422.64
10/22/2020 16:00:00,425.79
10/23/2020 16:00:00,420.63
10/26/2020 16:00:00,420.28
10/27/2020 16:00:00,424.68
10/28/2020 16:00:00,406.02
10/29/2020 16:00:00,410.83
10/30/2020 16:00:00,388.04
11/2/2020 16:00:00,400.51
11/3/2020 16:00:00,423.9
11/4/2020 16:00:00,420.98
11/5/2020 16:00:00,438.09
11/6/2020 16:00:00,429.95
11/9/2020 16:00:00,421.26
11/10/2020 16:00:00,410.36
11/11/2020 16:00:00,417.13
11/12/2020 16:00:00,411.76
11/13/2020 16:00:00,408.5
11/16/2020 16:00:00,408.09
11/17/2020 16:00:00,441.61
11/18/2020 16:00:00,486.64
11/19/2020 16:00:00,499.27
11/20/2020 16:00:00,489.61
11/23/2020 16:00:00,521.85
11/24/2020 16:00:00,555.38
11/25/2020 16:00:00,574
11/27/2020 13:00:00,585.76
11/30/2020 16:00:00,567.6
12/1/2020 16:00:00,584.76
12/2/2020 16:00:00,568.82
12/3/2020 16:00:00,593.38
12/4/2020 16:00:00,599.04
12/7/2020 16:00:00,641.76
12/8/2020 16:00:00,649.88
12/9/2020 16:00:00,604.48
12/10/2020 16:00:00,627.07
12/11/2020 16:00:00,609.99
12/14/2020 16:00:00,639.83
12/15/2020 16:00:00,633.25
12/16/2020 16:00:00,622.77
12/17/2020 16:00:00,655.9
12/18/2020 16:00:00,695
12/21/2020 16:00:00,649.86
12/22/2020 16:00:00,640.34
12/23/2020 16:00:00,645.98
12/24/2020 13:00:00,661.77
12/28/2020 16:00:00,663.69
12/29/2020 16:00:00,665.99
12/30/2020 16:00:00,694.78
12/31/2020 16:00:00,705.67
1/4/2021 16:00:00,729.77
1/5/2021 16:00:00,735.11
1/6/2021 16:00:00,755.98
1/7/2021 16:00:00,816.04
1/8/2021 16:00:00,880.02
1/11/2021 16:00:00,811.19
1/12/2021 16:00:00,849.44
1/13/2021 16:00:00,854.41
1/14/2021 16:00:00,845
1/15/2021 16:00:00,826.16
1/19/2021 16:00:00,844.55
1/20/2021 16:00:00,850.45
1/21/2021 16:00:00,844.99
1/22/2021 16:00:00,846.64
1/25/2021 16:00:00,880.8
1/26/2021 16:00:00,883.09
1/27/2021 16:00:00,864.16
1/28/2021 16:00:00,835.43
1/29/2021 16:00:00,793.53
2/1/2021 16:00:00,839.81
2/2/2021 16:00:00,872.79
2/3/2021 16:00:00,854.69
2/4/2021 16:00:00,849.99
