Date,Close
9/30/2020 16:00:00,124.08
10/1/2020 16:00:00,123.31
10/2/2020 16:00:00,122.55
10/5/2020 16:00:00,123.37
10/6/2020 16:00:00,120.93
10/7/2020 16:00:00,122.91
10/8/2020 16:00:00,123.09
10/9/2020 16:00:00,124.98
10/12/2020 16:00:00,124.97
10/13/2020 16:00:00,128.96
10/14/2020 16:00:00,126.59
10/15/2020 16:00:00,127.36
10/16/2020 16:00:00,126.81
10/19/2020 16:00:00,124.23
10/20/2020 16:00:00,124.95
10/21/2020 16:00:00,126.63
10/22/2020 16:00:00,127.56
10/23/2020 16:00:00,128.35
10/26/2020 16:00:00,124.06
10/27/2020 16:00:00,123.31
10/28/2020 16:00:00,118.47
10/29/2020 16:00:00,121.54
10/30/2020 16:00:00,121.25
11/2/2020 16:00:00,120.13
11/3/2020 16:00:00,124.02
11/4/2020 16:00:00,125.07
11/5/2020 16:00:00,126.96
11/6/2020 16:00:00,127.46
11/9/2020 16:00:00,142.59
11/10/2020 16:00:00,142.11
11/11/2020 16:00:00,137.82
11/12/2020 16:00:00,135.52
11/13/2020 16:00:00,138.36
11/16/2020 16:00:00,144.67
11/17/2020 16:00:00,144.5
11/18/2020 16:00:00,143.9
11/19/2020 16:00:00,141.72
11/20/2020 16:00:00,141.07
11/23/2020 16:00:00,145.98
11/24/2020 16:00:00,151.49
11/25/2020 16:00:00,149.09
11/27/2020 13:00:00,147.13
11/30/2020 16:00:00,148.01
12/1/2020 16:00:00,149.44
12/2/2020 16:00:00,153.61
12/3/2020 16:00:00,153.24
12/4/2020 16:00:00,154.14
12/7/2020 16:00:00,153.68
12/8/2020 16:00:00,153.72
12/9/2020 16:00:00,154.43
12/10/2020 16:00:00,154.69
12/11/2020 16:00:00,175.72
12/14/2020 16:00:00,169.3
12/15/2020 16:00:00,173.94
12/16/2020 16:00:00,173.12
12/17/2020 16:00:00,173.55
12/18/2020 16:00:00,172.89
12/21/2020 16:00:00,170.69
12/22/2020 16:00:00,170.45
12/23/2020 16:00:00,173.55
12/24/2020 13:00:00,173.73
12/28/2020 16:00:00,178.86
12/29/2020 16:00:00,177.3
12/30/2020 16:00:00,181.17
12/31/2020 16:00:00,181.18
1/4/2021 16:00:00,177.68
1/5/2021 16:00:00,178.44
1/6/2021 16:00:00,179.12
1/7/2021 16:00:00,178.58
1/8/2021 16:00:00,178.69
1/11/2021 16:00:00,179.09
1/12/2021 16:00:00,175.99
1/13/2021 16:00:00,176.12
1/14/2021 16:00:00,173.43
1/15/2021 16:00:00,171.44
1/19/2021 16:00:00,172.26
1/20/2021 16:00:00,173.64
1/21/2021 16:00:00,171.28
1/22/2021 16:00:00,172.78
1/25/2021 16:00:00,171.89
1/26/2021 16:00:00,169.56
1/27/2021 16:00:00,163.03
1/28/2021 16:00:00,171.88
1/29/2021 16:00:00,168.17
2/1/2021 16:00:00,170.97
2/2/2021 16:00:00,176.96
2/3/2021 16:00:00,176.43
2/4/2021 16:00:00,180.23
